entidad,n_fondos,importe_total,sog_medio,res_medio,via_medio,score_medio,icr,score_riesgo,nivel_riesgo
Fundación CODESPA,7,3582583.0,36.42857142857143,44.0,54.714285714285715,36.892857142857146,2.5,31.7,Medio
Fundación Carolina,2,11400000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
Fundación Casa America Cataluña,2,400000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Centroamérica Cuenta,2,109900.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Cepaim,1,182732.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Construir,2,550000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Fundación Cultura y Creación FCC,1,60000.0,25.0,44.0,85.0,38.95,2.5,33.5,Medio
Fundación Dignitas,1,270000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Diálogo Diverso,1,300000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Fundación ETEA para el Desarrollo,1,593647.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fundación Economistas Sin Fronteras,1,213675.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Educación y Cooperación,5,3729241.0,41.0,44.0,56.0,38.75,2.5,33.3,Medio
Fundación Energía Sin Fronteras,1,355259.0,25.0,44.0,68.0,35.55,2.5,30.6,Medio
Fundación Entreculturas - Fe y Alegría,4,2361639.0,35.0,44.0,72.0,39.85,2.5,34.2,Medio
Fundación Escuela Taller Barichara,1,300000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Escuela Taller de Cali,1,125000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Fundecooperación para el Desarrollo Sostenible,1,150000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación GABO - Fundación Gabriel García Marquez para el Nuevo Periodismo Iberoamericano,1,170000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación HEIFER Ecuador,2,549999.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Fundación Helpage International España,1,430816.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Intered,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Jóvenes y Desarrollo,1,342737.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Kelluwün Artes y Cultura de los Pueblos Originarios,1,150000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Kemb´alil,1,115000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
Fundación Madre Coraje,2,1696023.0,45.0,44.0,59.0,40.75,2.5,35.0,Medio
Fundación Manhica,2,3000000.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Fundación Mundubat,4,3117097.0,45.0,44.0,59.25,40.8,2.5,35.1,Medio
Fundación Municipal de Cultura,2,30000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Museo de la Memoria y los Derechos Humanos,1,99800.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Nuestra Señora del Camino,1,276639.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación ONCE para la Cooperación,1,275000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
Fundación ONCE para la Solidaridad,1,481295.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
