id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso
z03-25-01-18200,"Cadenas sostenibles de cacao y ecoturismo en San Martín, Perú",AMPA,25040 - Conducta empresarial responsable,Perú,352572.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18200
z03-25-01-18000,"Turismo sostenible y transición verde en Petén, Guatemala",Fundación Propetén,41040 - Protección del patrimonio cultural,Guatemala,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18000
z03-25-01-17900,"Sensibilización sobre cambio climático, medio ambiente, migración y mujeres en Malí","Studio Tamani, Project Fondation Hirondelle Mali",41081 - Educación / formación medioambiental,Malí,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17900
z03-25-01-17800,Cooperación regional con SICA para impulsar la protección social y la transformación digital,SG-SICA - Secretaria General del Sistema de la Integración Centroamericana,15126 - Otros servicios públicos generales,América Central y México (No Especificado),1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17800
z03-25-01-17700,Formación profesional en el sector marítimo pesquero,Asociación Mozambicana de Armadores,11120 - Servicios e instalaciones educativas y formación,Mozambique,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17700
z03-25-01-17600,Patrimonio y desarrollo comunitario en la Ruta Universo Wayuu,"OEI - Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",41040 - Protección del patrimonio cultural,Colombia,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17600
z03-25-01-17500,Apoyo a la gestión de los recursos hídricos en Bolivia,CIPCA - Centro de Investigación y Promoción del Campesinado,15126 - Otros servicios públicos generales,Bolivia,400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17500
z03-25-01-17400,Formación para docentes indígenas en Paraguay,CONAPI - Coordinación Nacional de Pastoral Indígena - Conferencia Episcopal de Paraguay,11130 - Formación de profesores,Paraguay,280000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17400
z03-25-01-17300,Investigación en salud para fortalecer el sistema sanitario en Mozambique,Fundación Manhica,12182 - Investigación médica,Mozambique,1500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17300
z03-25-01-17200,Formación de traductores indígenas para el acceso a la justicia en México,Universidad Científica e Idiomas de America Latina Sociedad Civil (UCIL),15130 - Desarrollo legal y judicial,México,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17200
z03-25-01-17100,Artesanía indígena y crecimiento económico en el Chaco paraguayo,Grupo Sunu de Acción Intercultural,15150 - Fortalecimiento de la sociedad civil,Paraguay,140000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17100
z03-25-01-17000,Centros juveniles interculturales para la ciudadanía afroperuana,Red Peruana de Jóvenes Afrodescendientes Ashanti,15150 - Fortalecimiento de la sociedad civil,Perú,100000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-17000
z03-25-01-16900,Fortalecimiento de la Defensoría del Pueblo en Bolivia,Defensoría del Pueblo de Bolivia,15135 - Defensor del Pueblo,Bolivia,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16900
z03-25-01-16800,Inclusión socioeconómica de mujeres y jóvenes desplazados en Ecuador,FEPP - Fondo Ecuatoriano Populorum Progressio,15170 - Organizaciones e instituciones de la igualdad de las mujeres,Ecuador,350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16800
z03-25-01-16700,Acceso al agua y a la energía en comunidades rurales de Filipinas,Acciona Org Foundation Philippines,23231 - Energía solar para redes aisladas y sistemas autónomos; 14031 - Abastecimiento básico de agua potable,Filipinas,320100.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16700
z03-25-01-16600,Desarrollo y liderazgo indígena en Costa Rica y Panamá,Fundación Universidad Estatal a Distancia para el Desarrollo y Promoción de la Educación a Distancia,15112 - Descentralización y apoyo a los gobiernos regionales y locales,"Costa Rica, Panamá",80000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16600
z03-25-01-16500,Apoyo al sistema de salud pública en Etiopía,Ministerio Federal de Salud de Etiopía,12110 - Política sanitaria y gestión administrativa,Etiopía,1150000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16500
z03-25-01-16400,Protección de la infancia frente a la trata de personas en Paraguay,Asociación Inscripta Con Capacidad Restringida Global (Global Infancia),11110 - Política educativa y gestión administrativa; 11231 - Habilidades básicas para la vida de los jóvenes,Paraguay,210000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16400
z03-25-01-16300,"Desarrollo de la Ruta Universo Wayuu, Colombia",Departamento de la Guajira,15170 - Organizaciones e instituciones de la igualdad de las mujeres; 33210 - Política turística y gestión administrativa,Colombia,400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16300
z03-25-01-16200,Confianza ciudadana y participación democrática en Colombia,Corporación Misión de Observación Electoral,15151 - Procesos electorales,Colombia,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16200
z03-25-01-16100,"Formación técnica de jóvenes en la Escuela Taller de San Lorenzo, Ecuador",Vicariato Apostólico de Esmeraldas,11330 - Formación profesional,Ecuador,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16100
z03-25-01-16000,Redes de sociedad civil para el seguimiento de las Cumbres Iberoamericanas,ACHNU - Asociación Chilena Pro Naciones Unidas,15150 - Fortalecimiento de la sociedad civil; 15185 - Administración de los gobiernos locales; 15130 - Desarrollo legal y judicial,América Latina y Caribe (No Especificado),130000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-16000
z03-25-01-15900,Atención sanitaria y refugio para población afectada por el conflicto en Palestina,Media Luna Roja Palestina,72010 - Ayuda y servicios materiales de emergencia,Palestina,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15900
z03-25-01-15800,Gestión municipal sostenible de residuos en República Dominicana,Federación Dominicana de Municipios,41010 - Política medioambiental y gestión administrativa,"Dominicana, Rep.",350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15800
z03-25-01-15700,Espacios de diálogo sobre los retos democráticos en Centroamérica,Fundación Centroamérica Cuenta,15150 - Fortalecimiento de la sociedad civil,América Latina y Caribe (No Especificado),59900.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-15700
